0.01 (1,2,3,4,5,6,7,8,9,10,11,12) (6.45048e-08,6.94267e-08,7.15942e-08,7.27726e-08,7.27478e-08,7.11473e-08,7.05301e-08,7.07024e-08,7.16646e-08,7.25757e-08,7.26838e-08,7.23083e-08) 380607

0.02 (1,2,3,4,5,6,7,8,9,10,11,12) (6.45041e-08,6.94259e-08,7.15935e-08,7.27718e-08,7.27471e-08,7.11465e-08,7.05293e-08,7.07017e-08,7.16639e-08,7.25749e-08,7.26831e-08,7.23075e-08) 190299

0.03 (1,2,3,4,5,6,7,8,9,10,11,12) (6.45035e-08,6.94253e-08,7.15928e-08,7.27711e-08,7.27464e-08,7.11458e-08,7.05287e-08,7.0701e-08,7.16632e-08,7.25742e-08,7.26824e-08,7.23068e-08) 126863

0.04 (1,2,3,4,5,6,7,8,9,10,11,12) (6.45029e-08,6.94246e-08,7.15921e-08,7.27704e-08,7.27457e-08,7.11451e-08,7.0528e-08,7.07003e-08,7.16625e-08,7.25735e-08,7.26816e-08,7.23061e-08) 95145

0.05 (1,2,3,4,5,6,7,8,9,10,11,12) (6.44898e-08,6.94105e-08,7.15775e-08,7.27556e-08,7.27308e-08,7.11307e-08,7.05136e-08,7.06859e-08,7.16479e-08,7.25587e-08,7.26668e-08,7.22914e-08) 76115

0.06 (1,2,3,4,5,6,7,8,9,10,11,12) (6.45016e-08,6.94232e-08,7.15907e-08,7.27689e-08,7.27442e-08,7.11437e-08,7.05265e-08,7.06989e-08,7.1661e-08,7.25721e-08,7.26802e-08,7.23047e-08) 63427

0.07 (1,2,3,4,5,6,7,8,9,10,11,12) (6.44947e-08,6.94158e-08,7.1583e-08,7.27612e-08,7.27364e-08,7.11361e-08,7.0519e-08,7.06914e-08,7.16534e-08,7.25643e-08,7.26724e-08,7.2297e-08) 54365

0.08 (1,2,3,4,5,6,7,8,9,10,11,12) (6.45003e-08,6.94218e-08,7.15892e-08,7.27675e-08,7.27428e-08,7.11423e-08,7.05252e-08,7.06975e-08,7.16596e-08,7.25706e-08,7.26787e-08,7.23032e-08) 47568

